"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,22.08,11.46,2,4,4,1.585,0,0,0,1,2,100,1213,"a"
"2",0,22.67,7,2,8,4,0.165,0,0,0,0,2,160,1,"a"
"3",0,29.58,1.75,1,4,4,1.25,0,0,0,1,2,280,1,"a"
"4",0,21.67,11.5,1,5,3,0,1,1,11,1,2,0,1,"b"
"5",1,20.17,8.17,2,6,4,1.96,1,1,14,0,2,60,159,"b"
"6",0,15.83,0.585,2,8,8,1.5,1,1,2,0,2,100,1,"b"
"7",1,17.42,6.5,2,3,4,0.125,0,0,0,0,2,60,101,"a"
"8",0,58.67,4.46,2,11,8,3.04,1,1,6,0,2,43,561,"b"
"9",1,27.83,1,1,2,8,3,0,0,0,0,2,176,538,"a"
"10",0,55.75,7.08,2,4,8,6.75,1,1,3,1,2,100,51,"a"
"11",1,33.5,1.75,2,14,8,4.5,1,1,4,1,2,253,858,"b"
"12",1,41.42,5,2,11,8,5,1,1,6,1,2,470,1,"b"
"13",1,20.67,1.25,1,8,8,1.375,1,1,3,1,2,140,211,"a"
"14",1,34.92,5,2,14,8,7.5,1,1,6,1,2,0,1001,"b"
"15",1,58.58,2.71,2,8,4,2.415,0,0,0,1,2,320,1,"a"
"16",1,48.08,6.04,2,4,4,0.04,0,0,0,0,2,0,2691,"b"
"17",1,29.58,4.5,2,9,4,7.5,1,1,2,1,2,330,1,"b"
"18",0,18.92,9,2,6,4,0.75,1,1,2,0,2,88,592,"b"
"19",1,20,1.25,1,4,4,0.125,0,0,0,0,2,140,5,"a"
"20",0,22.42,5.665,2,11,4,2.585,1,1,7,0,2,129,3258,"b"
"21",0,28.17,0.585,2,6,4,0.04,0,0,0,0,2,260,1005,"a"
"22",0,19.17,0.585,1,6,4,0.585,1,0,0,1,2,160,1,"a"
"23",1,41.17,1.335,2,2,4,0.165,0,0,0,0,2,168,1,"a"
"24",1,41.58,1.75,2,4,4,0.21,1,0,0,0,2,160,1,"a"
"25",1,19.5,9.585,2,6,4,0.79,0,0,0,0,2,80,351,"a"
"26",1,32.75,1.5,2,13,8,5.5,1,1,3,1,2,0,1,"b"
"27",1,22.5,0.125,1,4,4,0.125,0,0,0,0,2,200,71,"a"
"28",1,33.17,3.04,1,8,8,2.04,1,1,1,1,2,180,18028,"b"
"29",0,30.67,12,2,8,4,2,1,1,1,0,2,220,20,"b"
"30",1,23.08,2.5,2,8,4,1.085,1,1,11,1,2,60,2185,"b"
"31",1,27,0.75,2,8,8,4.25,1,1,3,1,2,312,151,"b"
"32",0,20.42,10.5,1,14,8,0,0,0,0,1,2,154,33,"a"
"33",1,52.33,1.375,1,8,8,9.46,1,0,0,1,2,200,101,"a"
"34",1,23.08,11.5,2,9,8,2.125,1,1,11,1,2,290,285,"b"
"35",1,42.83,1.25,2,7,4,13.875,0,1,1,1,2,352,113,"a"
"36",1,74.83,19,1,1,1,0.04,0,1,2,0,2,0,352,"a"
"37",1,25,12.5,2,6,4,3,1,0,0,1,1,20,1,"b"
"38",1,39.58,13.915,2,9,4,8.625,1,1,6,1,2,70,1,"b"
"39",0,47.75,8,2,8,4,7.875,1,1,6,1,2,0,1261,"b"
"40",0,47.42,3,2,14,4,13.875,1,1,2,1,2,519,1705,"b"
"41",1,23.17,0,2,13,4,0.085,1,0,0,0,2,0,1,"b"
"42",1,22.58,1.5,1,6,4,0.54,0,0,0,1,2,120,68,"a"
"43",1,26.75,1.125,2,14,8,1.25,1,0,0,0,2,0,5299,"b"
"44",1,63.33,0.54,2,8,4,0.585,1,1,3,1,2,180,1,"a"
"45",1,23.75,0.415,1,8,4,0.04,0,1,2,0,2,128,7,"a"
"46",0,20.75,10.25,2,11,4,0.71,1,1,2,1,2,49,1,"b"
"47",0,24.5,1.75,1,8,4,0.165,0,0,0,0,2,132,1,"a"
"48",1,16.17,0.04,2,8,4,0.04,0,0,0,0,2,0,1,"b"
"49",0,29.5,2,1,10,8,2,0,0,0,0,2,256,18,"a"
"50",0,52.83,15,2,8,4,5.5,1,1,14,0,2,0,2201,"b"
"51",1,32.33,3.5,2,4,4,0.5,0,0,0,1,2,232,1,"a"
"52",1,21.08,4.125,1,3,8,0.04,0,0,0,0,2,140,101,"a"
"53",1,28.17,0.125,1,4,4,0.085,0,0,0,0,2,216,2101,"a"
"54",1,19,1.75,1,8,4,2.335,0,0,0,1,2,112,7,"a"
"55",1,27.58,3.25,1,11,8,5.085,0,1,2,1,2,369,2,"a"
"56",1,27.83,1.5,2,9,4,2,1,1,11,1,2,434,36,"b"
"57",1,40,6.5,2,6,5,3.5,1,1,1,0,2,0,501,"b"
"58",0,37.33,2.5,2,3,8,0.21,0,0,0,0,2,260,247,"a"
"59",1,42.5,4.915,1,9,4,3.165,1,0,0,1,2,52,1443,"b"
"60",1,56.75,12.25,2,7,4,1.25,1,1,4,1,2,200,1,"b"
"61",1,43.17,5,2,3,5,2.25,0,0,0,1,2,141,1,"a"
"62",0,23.75,0.71,2,9,4,0.25,0,1,1,1,2,240,5,"a"
