"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","b",158,0,"u","g","w","v",1.25,"t","t",1,"f","g",70,0,"+"
"2","a",330,4.46,"u","g","q","h",3.04,"t","t",6,"f","g",13,560,"+"
"3","a",91,0.5,"u","g","q","h",1.5,"t","f",0,"f","g",98,824,"+"
"4","b",127,1.54,"u","g","w","v",3.75,"t","t",5,"t","g",33,3,"+"
"5","b",45,5.625,"u","g","w","v",1.71,"t","f",0,"f","s",39,0,"+"
"6","b",170,4,"u","g","m","v",2.5,"t","f",0,"t","g",117,0,"+"
"7","b",181,1.04,"u","g","r","h",6.5,"t","f",0,"t","g",56,31285,"+"
"8","a",76,11.585,"u","g","cc","v",0.04,"t","f",0,"f","g",25,1349,"+"
"9","b",312,0.5,"y","p","k","h",3.96,"t","f",0,"f","g",64,314,"+"
"10","b",257,4.915,"y","p","w","v",3.165,"t","f",0,"t","g",17,1442,"+"
"11","b",66,0.83,"u","g","c","h",2.165,"f","f",0,"t","g",41,0,"+"
"12","b",147,1.835,"u","g","c","h",4.335,"t","f",0,"f","g",92,200,"+"
"13","a",222,6,"u","g","k","v",1,"t","f",0,"t","g",2,0,"+"
"14","b",284,6.04,"u","g","k","v",0.04,"f","f",0,"f","g",2,2690,"+"
"15","a",272,10.5,"u","g","q","v",5,"t","t",7,"t","g",2,0,"+"
"16","b",213,4.415,"y","p","k","v",0.25,"t","t",10,"t","g",107,0,"+"
"17","b",131,0.875,"u","g","m","v",0.96,"t","t",3,"t","g",129,0,"+"
"18","a",80,5.875,"u","g","q","v",3.17,"t","t",10,"f","g",39,245,"+"
"19","b",63,0.25,"u","g","d","h",0.665,"t","f",0,"t","g",2,0,"+"
"20","a",36,8.585,"u","g","cc","h",0.75,"t","t",7,"f","g",31,0,"+"
"21","b",96,11.25,"u","g","c","v",2.5,"t","t",17,"f","g",69,1208,"+"
"22","b",80,1,"u","g","c","v",0.835,"t","f",0,"f","s",102,0,"+"
"23","a",282,8,"u","g","c","v",7.875,"t","t",6,"t","g",2,1260,"+"
"24","a",123,14.5,"u","g","x","h",3.085,"t","t",1,"f","g",39,11,"+"
"25","a",246,6.5,"u","g","q","v",0.5,"t","t",3,"t","g",49,0,"+"
"26","a",5,0.585,"u","g","c","h",1.5,"t","t",2,"f","g",33,0,"+"
"27","a",276,13,"u","g","i","bb",5.165,"t","t",9,"t","g",2,0,"+"
"28","b",320,18.5,"u","g","d","bb",15,"t","t",17,"t","g",2,0,"+"
"29","b",324,8.5,"u","g","e","h",7,"t","t",3,"f","g",2,0,"+"
"30","b",254,1.04,"u","g","w","v",5,"t","t",6,"t","g",152,10000,"+"
"31","b",140,14.79,"u","g","aa","v",5.04,"t","t",5,"t","g",58,0,"+"
"32","b",253,9.79,"u","g","x","h",7.96,"t","t",8,"f","g",2,0,"+"
"33","b",293,7.585,"u","g","i","bb",7.585,"t","t",15,"t","g",2,5000,"+"
"34","a",214,5.125,"u","g","e","v",5,"t","f",0,"t","g",2,4000,"+"
"35","a",72,10.75,"u","g","q","v",0.415,"t","t",5,"t","g",2,560,"+"
"36","b",127,1.5,"u","g","w","v",2,"t","t",11,"t","g",140,35,"+"
"37","b",121,1.585,"u","g","cc","h",1.835,"t","t",12,"t","g",160,713,"+"
"38","a",77,11.75,"u","g","x","h",0.5,"t","t",2,"t","g",102,551,"+"
"39","b",126,0.585,"y","p","cc","v",0.25,"t","t",2,"f","g",92,500,"+"
"40","b",313,9.415,"u","g","ff","ff",14.415,"t","t",11,"t","g",10,300,"+"
"41","b",190,9.17,"u","g","c","v",4.5,"t","t",12,"t","g",2,221,"+"
"42","b",138,15,"u","g","c","h",5.335,"t","t",11,"f","g",2,2283,"+"
"43","b",144,1.415,"u","g","w","h",0.75,"t","t",1,"f","g",86,100,"+"
"44","b",236,13.915,"u","g","w","v",8.625,"t","t",6,"t","g",21,0,"+"
"45","b",318,28,"y","p","c","v",28.5,"t","t",40,"f","g",2,15,"+"
"46","b",311,6.75,"u","g","c","h",2.625,"t","t",11,"t","g",2,284,"+"
"47","a",245,2.04,"y","p","q","h",0.125,"t","t",23,"t","g",145,1236,"+"
"48","b",168,4.46,"u","g","cc","h",6.04,"t","t",3,"f","g",105,300,"+"
"49","b",249,1.54,"u","g","i","bb",3.5,"f","f",0,"f","g",76,0,"+"
"50","b",86,0.665,"u","g","c","v",0.165,"f","f",0,"f","g",33,0,"+"
"51","a",105,0.5,"u","g","c","h",0.875,"t","f",0,"t","g",151,0,"+"
"52","b",108,1,"u","g","q","v",1.75,"t","f",0,"t","g",98,0,"+"
"53","b",217,2.04,"u","g","w","v",0.04,"t","f",0,"t","g",131,5800,"+"
"54","b",198,2.5,"u","g","w","v",0,"t","f",0,"t","g",85,200,"+"
"55","b",191,3,"u","g","cc","h",7.415,"t","f",0,"t","g",2,0,"+"
"56","b",81,11.625,"y","p","w","v",0.835,"t","f",0,"t","g",54,300,"+"
"57","b",79,0,"u","g","cc","v",0.085,"t","f",0,"f","g",2,0,"+"
"58","b",267,0.5,"u","g","i","h",5,"t","f",0,"t","g",107,0,"+"
"59","b",200,4.5,"u","g","x","h",5.75,"f","f",0,"t","s",164,0,"+"
"60","b",263,3,"u","g","q","h",6,"t","t",11,"f","g",25,0,"+"
"61","b",321,12.25,"u","g","m","v",1.25,"t","t",4,"t","g",69,0,"+"
"62","b",165,16.165,"u","g","d","v",3,"t","t",9,"f","g",87,730,"+"
"63","a",82,0.79,"y","p","q","v",1.5,"t","t",2,"t","g",25,400,"+"
"64","a",48,0.835,"u","g","q","v",1.585,"t","t",1,"f","g",2,0,"+"
"65","b",115,4.25,"u","g","cc","v",4.29,"t","t",1,"t","g",39,0,"+"
"66","b",190,1.54,"u","g","cc","v",1.54,"t","t",1,"t","g",156,50000,"+"
"67","a",205,1,"u","g","c","v",2,"t","t",11,"f","g",2,456,"+"
"68","b",102,0.375,"u","g","m","v",0.25,"t","t",3,"f","g",92,15108,"+"
"69","b",38,6.5,"u","g","w","h",1.46,"t","t",7,"f","g",25,2954,"+"
"70","b",200,25.125,"u","g","x","h",1.625,"t","t",1,"t","g",154,500,"+"
"71","b",173,7.5,"u","g","e","bb",1.585,"t","f",0,"t","s",136,0,"-"
"73","a",225,5,"u","g","cc","v",13.5,"t","f",0,"t","g",169,0,"-"
"74","b",266,0.5,"u","g","m","v",10.75,"t","f",0,"f","s",131,0,"-"
"75","b",268,7,"y","p","c","v",1.625,"f","f",0,"f","g",54,2,"-"
"76","b",50,5.29,"u","g","q","v",0.375,"t","t",1,"f","g",54,0,"-"
"77","b",189,6.5,"u","g","aa","v",0.125,"t","f",0,"t","g",142,0,"-"
"78","a",36,0.585,"y","p","aa","v",0.585,"t","f",0,"t","g",54,0,"-"
"79","b",61,1.165,"y","p","k","v",2.5,"t","t",1,"f","g",64,20,"-"
